US Census 2019 Estimated Population Density in Persons Per Square Mile,,
Data Source: U.S. Bureau of the Census( http://census.gov ),,
Tue Apr 07 19:48:22 2020,,
State,Area,Density_persons_per_square_mile
Alabama,Autauga,93.54
Alabama,Baldwin,137.14
Alabama,Barbour,28.11
Alabama,Bibb,35.99
Alabama,Blount,89.70
Alabama,Bullock,16.28
Alabama,Butler,25.33
Alabama,Calhoun,188.62
Alabama,Chambers,56.35
Alabama,Cherokee,47.03
Alabama,Chilton,63.73
Alabama,Choctaw,14.06
Alabama,Clarke,19.31
Alabama,Clay,21.98
Alabama,Cleburne,26.76
Alabama,Coffee,76.45
Alabama,Colbert,92.39
Alabama,Conecuh,14.44
Alabama,Coosa,16.46
Alabama,Covington,35.89
Alabama,Crenshaw,22.70
Alabama,Cullman,113.57
Alabama,Dale,87.25
Alabama,Dallas,39.14
Alabama,DeKalb,91.86
Alabama,Elmore,132.41
Alabama,Escambia,38.88
Alabama,Etowah,191.56
Alabama,Fayette,26.18
Alabama,Franklin,49.47
Alabama,Geneva,45.80
Alabama,Greene,12.72
Alabama,Hale,22.87
Alabama,Henry,30.63
Alabama,Houston,180.60
Alabama,Jackson,47.99
Alabama,Jefferson,593.21
Alabama,Lamar,22.89
Alabama,Lauderdale,138.30
Alabama,Lawrence,47.72
Alabama,Lee,269.84
Alabama,Limestone,171.75
Alabama,Lowndes,13.93
Alabama,Macon,30.29
Alabama,Madison,457.24
Alabama,Marengo,19.52
Alabama,Marion,40.09
Alabama,Marshall,169.85
Alabama,Mobile,336.55
Alabama,Monroe,20.54
Alabama,Montgomery,287.47
Alabama,Morgan,205.47
Alabama,Perry,12.70
Alabama,Pickens,22.62
Alabama,Pike,49.60
Alabama,Randolph,39.14
Alabama,Russell,90.12
Alabama,Shelby,274.65
Alabama,St. Clair,140.43
Alabama,Sumter,14.04
Alabama,Talladega,108.34
Alabama,Tallapoosa,56.52
Alabama,Tuscaloosa,158.16
Alabama,Walker,80.54
Alabama,Washington,15.16
Alabama,Wilcox,11.96
Alabama,Winston,38.60
Alaska,Aleutians East Borough,0.50
Alaska,Aleutians West Census Area,1.30
Alaska,Anchorage Borough,170.81
Alaska,Bethel Census Area,0.45
Alaska,Bristol Bay Borough,1.82
Alaska,Denali Borough,0.16
Alaska,Dillingham Census Area,0.27
Alaska,Fairbanks North Star Borough,13.50
Alaska,Haines Borough,1.06
Alaska,Hoonah-Angoon Census Area,0.33
Alaska,Juneau Borough,11.88
Alaska,Kenai Peninsula Borough,3.65
Alaska,Ketchikan Gateway Borough,2.87
Alaska,Kodiak Island Borough,2.02
Alaska,Kusilvak Census Area,0.49
Alaska,Lake and Peninsula Borough,0.07
Alaska,Matanuska-Susitna Borough,4.35
Alaska,Nome Census Area,0.44
Alaska,North Slope Borough,0.11
Alaska,Northwest Arctic Borough,0.22
Alaska,Petersburg Census Area,1.11
Alaska,Prince of Wales-Hyder Census Area,1.22
Alaska,Prince of Wales-Outer Ketchikan Census Area,0.00
Alaska,Sitka Borough,3.01
Alaska,Skagway Municipality,2.65
Alaska,Skagway-Hoonah-Angoon Census Area,0.00
Alaska,Skagway-Yakutat-Angoon Census Area,0.00
Alaska,Southeast Fairbanks Census Area,0.28
Alaska,Valdez-Cordova Census Area,0.27
Alaska,Wade Hampton Census Area,0.00
Alaska,Wrangell City and Borough,0.98
Alaska,Wrangell-Petersburg Census Area,0.00
Alaska,Yakutat City and Borough,0.08
Alaska,Yukon-Koyukuk Census Area,0.04
Arizona,Apache,6.41
Arizona,Cochise,20.41
Arizona,Coconino,7.67
Arizona,Gila,11.33
Arizona,Graham,8.24
Arizona,Greenlee,5.15
Arizona,La Paz,4.69
Arizona,Maricopa,479.40
Arizona,Mohave,15.72
Arizona,Navajo,11.10
Arizona,Pima,113.08
Arizona,Pinal,83.33
Arizona,Santa Cruz,37.62
Arizona,Yavapai,28.56
Arizona,Yuma,38.47
Arkansas,Arkansas,17.97
Arkansas,Ashley,21.66
Arkansas,Baxter,75.09
Arkansas,Benton,321.51
Arkansas,Boone,63.53
Arkansas,Bradley,16.78
Arkansas,Calhoun,8.40
Arkansas,Carroll,44.79
Arkansas,Chicot,16.19
Arkansas,Clark,25.47
Arkansas,Clay,23.22
Arkansas,Cleburne,45.09
Arkansas,Cleveland,13.41
Arkansas,Columbia,30.73
Arkansas,Conway,37.83
Arkansas,Craighead,153.48
Arkansas,Crawford,106.79
Arkansas,Crittenden,79.20
Arkansas,Cross,27.05
Arkansas,Dallas,10.76
Arkansas,Desha,14.99
Arkansas,Drew,22.13
Arkansas,Faulkner,192.61
Arkansas,Franklin,29.25
Arkansas,Fulton,19.85
Arkansas,Garland,146.33
Arkansas,Grant,28.79
Arkansas,Greene,78.46
Arkansas,Hempstead,29.88
Arkansas,Hot Spring,54.77
Arkansas,Howard,22.67
Arkansas,Independence,49.31
Arkansas,Izard,23.41
Arkansas,Jackson,26.52
Arkansas,Jefferson,78.29
Arkansas,Johnson,40.53
Arkansas,Lafayette,12.65
Arkansas,Lawrence,27.97
Arkansas,Lee,14.91
Arkansas,Lincoln,23.83
Arkansas,Little River,23.16
Arkansas,Logan,30.69
Arkansas,Lonoke,95.49
Arkansas,Madison,19.76
Arkansas,Marion,28.01
Arkansas,Miller,69.67
Arkansas,Mississippi,45.79
Arkansas,Monroe,11.36
Arkansas,Montgomery,11.44
Arkansas,Nevada,13.48
Arkansas,Newton,9.51
Arkansas,Ouachita,32.21
Arkansas,Perry,18.77
Arkansas,Phillips,25.92
Arkansas,Pike,17.77
